temperature,city,pression,date
283.14,Toulouse,1029,2024-12-24 13:26:03
284.11, Nantes,1029,2024-12-24 13:26:03
269.58, Grenoble,1026,2024-12-24 13:26:03
282.1, Marseille,1019,2024-12-24 13:26:03
277.32, Lyon,1029,2024-12-24 13:26:03
264.14,Montreal,1023,2024-12-24 13:26:03
271.41,New York,1026,2024-12-24 13:26:03
305.19,Conakry,1011,2024-12-24 13:26:03
297.22,Dakar,1013,2024-12-24 13:26:03
283.14,Toulouse,1029,2024-12-24 13:25:03
284.11, Nantes,1029,2024-12-24 13:25:03
269.58, Grenoble,1026,2024-12-24 13:25:03
282.1, Marseille,1019,2024-12-24 13:25:03
277.32, Lyon,1029,2024-12-24 13:25:03
264.14,Montreal,1023,2024-12-24 13:25:03
271.35,New York,1026,2024-12-24 13:25:03
305.19,Conakry,1011,2024-12-24 13:25:03
297.22,Dakar,1013,2024-12-24 13:25:03
283.14,Toulouse,1029,2024-12-24 13:24:03
284.11, Nantes,1029,2024-12-24 13:24:03
269.58, Grenoble,1026,2024-12-24 13:24:03
282.1, Marseille,1019,2024-12-24 13:24:03
277.32, Lyon,1029,2024-12-24 13:24:03
264.14,Montreal,1023,2024-12-24 13:24:03
271.35,New York,1026,2024-12-24 13:24:03
305.19,Conakry,1011,2024-12-24 13:24:03
297.22,Dakar,1013,2024-12-24 13:24:03
283.14,Toulouse,1029,2024-12-24 13:23:03
284.11, Nantes,1029,2024-12-24 13:23:03
269.58, Grenoble,1026,2024-12-24 13:23:03
282.1, Marseille,1019,2024-12-24 13:23:03
277.32, Lyon,1029,2024-12-24 13:23:03
264.14,Montreal,1023,2024-12-24 13:23:03
271.35,New York,1026,2024-12-24 13:23:03
305.19,Conakry,1011,2024-12-24 13:23:03
297.22,Dakar,1013,2024-12-24 13:23:03
283.14,Toulouse,1029,2024-12-24 13:22:02
284.11, Nantes,1029,2024-12-24 13:22:02
269.58, Grenoble,1026,2024-12-24 13:22:02
282.1, Marseille,1019,2024-12-24 13:22:02
277.32, Lyon,1029,2024-12-24 13:22:02
264.14,Montreal,1023,2024-12-24 13:22:02
271.35,New York,1026,2024-12-24 13:22:02
305.19,Conakry,1011,2024-12-24 13:22:02
297.22,Dakar,1013,2024-12-24 13:22:02
283.14,Toulouse,1029,2024-12-24 13:21:07
284.11, Nantes,1029,2024-12-24 13:21:07
269.58, Grenoble,1026,2024-12-24 13:21:07
282.1, Marseille,1019,2024-12-24 13:21:07
277.32, Lyon,1029,2024-12-24 13:21:07
264.14,Montreal,1023,2024-12-24 13:21:07
271.35,New York,1026,2024-12-24 13:21:07
305.19,Conakry,1011,2024-12-24 13:21:07
297.22,Dakar,1013,2024-12-24 13:21:07
283.14,Toulouse,1029,2024-12-24 13:20:03
284.11, Nantes,1029,2024-12-24 13:20:03
270.13, Grenoble,1026,2024-12-24 13:20:03
281.98, Marseille,1019,2024-12-24 13:20:03
277.35, Lyon,1029,2024-12-24 13:20:03
264.14,Montreal,1023,2024-12-24 13:20:03
271.5,New York,1026,2024-12-24 13:20:03
305.19,Conakry,1011,2024-12-24 13:20:03
297.22,Dakar,1013,2024-12-24 13:20:03
284.14,Toulouse,1029,2024-12-24 13:19:04
284.11, Nantes,1029,2024-12-24 13:19:04
270.13, Grenoble,1026,2024-12-24 13:19:04
281.98, Marseille,1019,2024-12-24 13:19:04
277.35, Lyon,1029,2024-12-24 13:19:04
264.14,Montreal,1023,2024-12-24 13:19:04
271.5,New York,1026,2024-12-24 13:19:04
305.19,Conakry,1011,2024-12-24 13:19:04
297.22,Dakar,1013,2024-12-24 13:19:04
284.14,Toulouse,1029,2024-12-24 13:18:03
284.11, Nantes,1029,2024-12-24 13:18:03
270.13, Grenoble,1026,2024-12-24 13:18:03
281.98, Marseille,1019,2024-12-24 13:18:03
277.35, Lyon,1029,2024-12-24 13:18:03
264.14,Montreal,1023,2024-12-24 13:18:03
271.5,New York,1026,2024-12-24 13:18:03
305.19,Conakry,1011,2024-12-24 13:18:03
297.22,Dakar,1013,2024-12-24 13:18:03
284.14,Toulouse,1029,2024-12-24 13:17:04
284.11, Nantes,1029,2024-12-24 13:17:04
270.13, Grenoble,1026,2024-12-24 13:17:04
281.98, Marseille,1019,2024-12-24 13:17:04
277.35, Lyon,1029,2024-12-24 13:17:04
264.14,Montreal,1023,2024-12-24 13:17:04
271.5,New York,1026,2024-12-24 13:17:04
305.19,Conakry,1011,2024-12-24 13:17:04
297.22,Dakar,1013,2024-12-24 13:17:04
284.14,Toulouse,1029,2024-12-24 13:16:04
284.11, Nantes,1029,2024-12-24 13:16:04
270.13, Grenoble,1026,2024-12-24 13:16:04
281.98, Marseille,1019,2024-12-24 13:16:04
277.35, Lyon,1029,2024-12-24 13:16:04
264.14,Montreal,1023,2024-12-24 13:16:04
271.5,New York,1026,2024-12-24 13:16:04
305.19,Conakry,1011,2024-12-24 13:16:04
297.22,Dakar,1013,2024-12-24 13:16:04
284.14,Toulouse,1029,2024-12-24 13:15:04
284.11, Nantes,1029,2024-12-24 13:15:04
270.13, Grenoble,1026,2024-12-24 13:15:04
281.98, Marseille,1019,2024-12-24 13:15:04
277.33, Lyon,1029,2024-12-24 13:15:04
264.14,Montreal,1023,2024-12-24 13:15:04
271.5,New York,1026,2024-12-24 13:15:04
305.19,Conakry,1011,2024-12-24 13:15:04
297.22,Dakar,1013,2024-12-24 13:15:04
284.14,Toulouse,1029,2024-12-24 13:14:04
284.11, Nantes,1029,2024-12-24 13:14:04
269.58, Grenoble,1026,2024-12-24 13:14:04
281.98, Marseille,1019,2024-12-24 13:14:04
277.49, Lyon,1029,2024-12-24 13:14:04
264.21,Montreal,1023,2024-12-24 13:14:04
271.69,New York,1026,2024-12-24 13:14:04
305.19,Conakry,1011,2024-12-24 13:14:04
297.22,Dakar,1013,2024-12-24 13:14:04
284.14,Toulouse,1029,2024-12-24 13:13:04
284.11, Nantes,1029,2024-12-24 13:13:04
269.58, Grenoble,1026,2024-12-24 13:13:04
281.98, Marseille,1019,2024-12-24 13:13:04
277.49, Lyon,1029,2024-12-24 13:13:04
264.21,Montreal,1023,2024-12-24 13:13:04
271.69,New York,1026,2024-12-24 13:13:04
305.19,Conakry,1011,2024-12-24 13:13:04
297.22,Dakar,1013,2024-12-24 13:13:04
284.14,Toulouse,1029,2024-12-24 13:12:03
284.11, Nantes,1029,2024-12-24 13:12:03
269.58, Grenoble,1026,2024-12-24 13:12:03
281.98, Marseille,1019,2024-12-24 13:12:03
277.49, Lyon,1029,2024-12-24 13:12:03
264.21,Montreal,1023,2024-12-24 13:12:03
271.69,New York,1026,2024-12-24 13:12:03
305.19,Conakry,1011,2024-12-24 13:12:03
297.22,Dakar,1013,2024-12-24 13:12:03
284.14,Toulouse,1029,2024-12-24 13:11:13
284.11, Nantes,1029,2024-12-24 13:11:13
269.58, Grenoble,1026,2024-12-24 13:11:13
281.98, Marseille,1019,2024-12-24 13:11:13
277.49, Lyon,1029,2024-12-24 13:11:13
264.21,Montreal,1023,2024-12-24 13:11:13
271.69,New York,1026,2024-12-24 13:11:13
305.19,Conakry,1011,2024-12-24 13:11:13
297.22,Dakar,1013,2024-12-24 13:11:13
284.14,Toulouse,1029,2024-12-24 13:11:04
284.11, Nantes,1029,2024-12-24 13:11:04
269.58, Grenoble,1026,2024-12-24 13:11:04
281.98, Marseille,1019,2024-12-24 13:11:04
277.49, Lyon,1029,2024-12-24 13:11:04
264.21,Montreal,1023,2024-12-24 13:11:04
271.69,New York,1026,2024-12-24 13:11:04
305.19,Conakry,1011,2024-12-24 13:11:04
297.22,Dakar,1013,2024-12-24 13:11:04
284.14,Toulouse,1029,2024-12-24 13:10:03
284.11, Nantes,1029,2024-12-24 13:10:03
269.58, Grenoble,1026,2024-12-24 13:10:03
281.98, Marseille,1019,2024-12-24 13:10:03
277.49, Lyon,1029,2024-12-24 13:10:03
264.21,Montreal,1023,2024-12-24 13:10:03
271.69,New York,1026,2024-12-24 13:10:03
305.19,Conakry,1011,2024-12-24 13:10:03
297.22,Dakar,1013,2024-12-24 13:10:03
284.14,Toulouse,1029,2024-12-24 13:09:19
284.11, Nantes,1029,2024-12-24 13:09:19
269.58, Grenoble,1026,2024-12-24 13:09:19
281.98, Marseille,1019,2024-12-24 13:09:19
277.49, Lyon,1029,2024-12-24 13:09:19
264.21,Montreal,1023,2024-12-24 13:09:19
271.69,New York,1026,2024-12-24 13:09:19
305.19,Conakry,1011,2024-12-24 13:09:19
297.22,Dakar,1013,2024-12-24 13:09:19
284.14,Toulouse,1029,2024-12-24 13:09:04
284.11, Nantes,1029,2024-12-24 13:09:04
269.58, Grenoble,1026,2024-12-24 13:09:04
281.98, Marseille,1019,2024-12-24 13:09:04
277.49, Lyon,1029,2024-12-24 13:09:04
264.21,Montreal,1023,2024-12-24 13:09:04
271.69,New York,1026,2024-12-24 13:09:04
305.19,Conakry,1011,2024-12-24 13:09:04
297.22,Dakar,1013,2024-12-24 13:09:04
